Product Name,Original Price,Rating
"POCO C71 (Cool Blue, 128 GB)","₹6,799",4.1
"Ai+ Pulse (Blue, 64 GB)","₹5,999",4.3
"realme P3 Lite 5G Charger in the Box (Midnight Lily, 128 GB)","₹9,749",4.4
"Moto g06 power (Tapestry, 64 GB)","₹7,199",4.2
"MOTOROLA g05 (Forest Green, 64 GB)","₹6,999",4.2
"POCO C71 (Desert Gold, 64 GB)","₹6,199",3.8
"POCO C75 5G (Aqua Bliss, 64 GB)","₹7,499",4.2
"Ai+ Pulse (Black, 64 GB)","₹5,999",4.3
"POCO C71 (Power Black, 128 GB)","₹6,799",4.1
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)","₹10,499",4.4
"MOTOROLA g05 (Plum Red, 64 GB)","₹6,999",4.2
"POCO M6 Plus 5G (Ice Silver, 128 GB)","₹10,834",4.2
"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹11,999",4.2
"realme C61 (Marble Black, 64 GB)","₹6,499",4.4
"POCO F6 5G (Deadpool, 256 GB)","₹21,999",4.3
"POCO C71  - Locked with Airtel Prepaid (Cool Blue, 64 GB)","₹5,749",3.8
"POCO C75 5G (Aqua Bliss, 128 GB)","₹8,199",4.2
"POCO C71 (Desert Gold, 128 GB)","₹6,799",4.1
"Moto g06 power (Laurel Oak, 64 GB)","₹7,199",4.2
"CMF by Nothing Phone 2 Pro (White, 128 GB)","₹17,999",4.4
"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)","₹20,999",4.4
"realme 15x 5G (Marine Blue, 128 GB)","₹17,499",4.4
"realme C71 (Sea Blue, 128 GB)","₹8,699",4.2
"realme C61 (Safari Green, 64 GB)","₹6,499",4.4
"realme C61 (Safari Green, 64 GB)","₹6,499",4.4
"POCO M7 Plus 5G (Chrome Silver, 128 GB)","₹13,999",4.3
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 256 GB)","₹13,499",4.3
"POCO C71  - Locked with Airtel Prepaid (Power Black, 64 GB)","₹5,749",3.8
"realme P4 5G (Engine Blue, 128 GB)","₹16,999",4.4
"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)","₹11,499",4.4
"vivo T4x 5G (Pronto Purple, 256 GB)","₹17,499",4.4
"Samsung M06 5G (Sage Green, 128 GB)","₹9,199",4
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)","₹10,499",4.4
"MOTOROLA g35 5G (Leaf Green, 128 GB)","₹9,999",4.2
"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹9,999",4.2
"vivo T4x 5G (Pronto Purple, 128 GB)","₹14,499",4.4
"vivo T4R 5G (Twilight Blue, 128 GB)","₹19,499",4.5
"POCO M7 Plus 5G (Chrome Silver, 128 GB)","₹12,999",4.3
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)","₹20,999",4.4
"realme P4 Pro 5G (Birch Wood, 256 GB)","₹24,999",4.4
"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)","₹27,999",4.3
"Tecno Spark Go 2 (Veil White, 64 GB)","₹6,699",4.4
"vivo T4R 5G (Arctic White, 128 GB)","₹19,499",4.5
"POCO F7 5G (Phantom Black, 512 GB)","₹32,999",4.4
"vivo T4 5G (Phantom Grey, 256 GB)","₹22,999",4.5
"realme 15x 5G (Marine Blue, 256 GB)","₹20,499",4.3
"vivo T4R 5G (Twilight Blue, 256 GB)","₹21,499",4.5
"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)","₹20,999",4.4
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 256 GB)","₹13,499",4.3
"MOTOROLA G86 Power 5G (Pantone Spellbound, 128 GB)","₹17,999",4.3
"MOTOROLA G96 5G (Pantone Ashleigh Blue, 256 GB)","₹19,999",4.4
"CMF by Nothing Phone 2 Pro (Black, 128 GB)","₹17,999",4.4
"CMF by Nothing Phone 2 Pro (Light Green, 256 GB)","₹19,999",4.4
"realme P3 Lite 5G Charger in the Box (Purple Blossom, 128 GB)","₹9,749",4.4
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)","₹11,499",4.4
"POCO M7 Plus 5G (Carbon Black, 128 GB)","₹12,999",4.3
"POCO C71 (Power Black, 64 GB)","₹6,199",3.8
"POCO F7 5G (Frost White, 256 GB)","₹30,999",4.4
"Apple iPhone 16 (Teal, 128 GB)","₹69,900",4.6
"vivo T4x 5G (Pronto Purple, 128 GB)","₹15,499",4.4
"realme P4 5G (Steel Grey, 128 GB)","₹17,999",4.4
"vivo T4 5G (Phantom Grey, 256 GB)","₹24,999",4.5
"POCO C75 5G (Silver Stardust, 64 GB)","₹7,499",4.2
"vivo T4 5G (Emerald Blaze, 128 GB)","₹20,999",4.5
"Motorola g45 5G (Brilliant Blue, 128 GB)","₹11,999",4.3
"realme P4 Pro 5G (Midnight Ivy, 256 GB)","₹24,999",4.4
"POCO X7 5G (Yellow, 256 GB)","₹17,999",4.3
"Motorola G85 5G (Olive Green, 128 GB)","₹15,999",4.4
"realme 15x 5G (Aqua Blue, 128 GB)","₹18,999",4.3
"Motorola G85 5G (Cobalt Blue, 128 GB)","₹15,999",4.4
"POCO M6 Plus 5G (Misty Lavender, 128 GB)","₹10,899",4.2
